white_proportion,female_proportion,average_age,attendance_in_mills,budget_in_mills,highest_starpower,genre_action (Dummy),genre_comedy (Dummy),genre_drama (Dummy),genre_other (Dummy),content_rating (Dummy)_PG,content_rating (Dummy)_PG-13,content_rating (Dummy)_R
1.0,0.0,36.0,45.0,300.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,35.333333333333336,49.0,258.0,1,1,0,0,0,False,True,False
1.0,0.6666666666666666,53.0,10.0,180.0,30,0,0,0,1,False,True,False
0.6666666666666666,0.0,42.0,15.0,175.0,20,0,1,0,0,True,False,False
0.3333333333333333,1.0,33.0,24.0,168.0,229,1,1,0,0,False,True,False
1.0,0.0,48.0,46.0,150.0,688,1,0,0,0,False,True,False
0.0,0.6666666666666666,23.333333333333332,37.0,150.0,2,0,0,1,0,False,True,False
0.3333333333333333,0.6666666666666666,46.333333333333336,20.0,140.0,57,1,1,0,0,False,True,False
0.6666666666666666,0.0,35.0,19.0,130.0,12,1,0,0,0,True,False,False
0.6666666666666666,0.0,46.0,33.0,110.0,2,1,0,0,0,False,True,False
0.6666666666666666,0.0,44.333333333333336,20.0,225.0,549,1,0,0,0,True,False,False
1.0,0.0,58.666666666666664,44.0,185.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,44.666666666666664,74.0,185.0,1,1,0,1,0,False,True,False
1.0,0.3333333333333333,43.333333333333336,18.0,150.0,4,0,0,1,0,False,True,False
0.6666666666666666,0.3333333333333333,37.666666666666664,32.0,150.0,2,1,0,1,0,False,True,False
0.6666666666666666,0.0,49.333333333333336,19.0,150.0,50,1,0,0,0,False,True,False
0.3333333333333333,0.0,43.333333333333336,14.0,145.0,10,1,0,0,0,False,True,False
1.0,0.0,48.0,44.0,140.0,1,1,0,0,0,False,True,False
1.0,0.0,23.333333333333332,6.0,120.0,170,1,0,0,0,True,False,False
0.6666666666666666,0.0,36.666666666666664,15.0,92.0,1,1,1,0,0,False,False,True
